date,county,parameter,arithmetic_mean,local_site_name,city,state,county_code,latitude,longitude,units_of_measure
2022-12-31,San Bernardino,Lead (TSP) LC,0.0068,San Bernardino,San Bernardino,California,71,34.1067,-117.2741,Micrograms/cubic meter (LC)
2022-12-31,San Diego,Lead (TSP) LC,0.0135,Palomar Airport,Carlsbad,California,73,33.1309,-117.2724,Micrograms/cubic meter (LC)
2022-12-31,Santa Clara,Lead (TSP) LC,0.0198,Reid Hillview Airport,San Jose,California,85,37.3298,-121.8154,Micrograms/cubic meter (LC)
2023-03-31,Los Angeles,Lead (TSP) LC,0.006875,Compton,Compton,California,37,33.9014,-118.205,Micrograms/cubic meter (LC)
2023-03-31,Riverside,Lead (TSP) LC,0.0034,Rubidoux,Rubidoux,California,65,33.9996,-117.416,Micrograms/cubic meter (LC)
2023-03-31,San Bernardino,Lead (TSP) LC,0.0033,San Bernardino,San Bernardino,California,71,34.1067,-117.2741,Micrograms/cubic meter (LC)
2023-03-31,San Diego,Lead (TSP) LC,0.0118,Palomar Airport,Carlsbad,California,73,33.1309,-117.2724,Micrograms/cubic meter (LC)
2023-03-31,Santa Clara,Lead (TSP) LC,0.0145,Reid Hillview Airport,San Jose,California,85,37.3298,-121.8154,Micrograms/cubic meter (LC)
2023-06-30,Los Angeles,Lead (TSP) LC,0.006025,Compton,Compton,California,37,33.9014,-118.205,Micrograms/cubic meter (LC)
2023-06-30,Riverside,Lead (TSP) LC,0.0031,Rubidoux,Rubidoux,California,65,33.9996,-117.416,Micrograms/cubic meter (LC)
2023-06-30,San Bernardino,Lead (TSP) LC,0.0042,San Bernardino,San Bernardino,California,71,34.1067,-117.2741,Micrograms/cubic meter (LC)
2023-06-30,San Diego,Lead (TSP) LC,0.0114,Palomar Airport,Carlsbad,California,73,33.1309,-117.2724,Micrograms/cubic meter (LC)
2023-06-30,Santa Clara,Lead (TSP) LC,0.0128,Reid Hillview Airport,San Jose,California,85,37.3298,-121.8154,Micrograms/cubic meter (LC)
