Year,County Code,County,CO 2nd Max 1-hr,CO 2nd Max 8-hr,Lead Max 3-Mo Avg,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,PM10 2nd Max 24-hr,PM10 Mean 24-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,SO2 2nd Max 24-hr,SO2 99th Percentile 1-hr,SO2 Mean 1-hr
2020,6063,"Plumas County, CA",,,,,,,,,,76.0,21.4,,,
2020,6065,"Riverside County, CA",1.8,1.5,,54.0,15.0,0.14,0.104,298.0,55.0,44.0,15.7,1.0,2.0,0.0
2020,6067,"Sacramento County, CA",2.3,2.0,,46.0,11.0,0.1,0.078,231.0,32.0,123.0,16.1,1.0,3.0,0.0
2020,6069,"San Benito County, CA",,,,,,0.09,0.069,116.0,23.0,59.0,8.9,,,
2020,6071,"San Bernardino County, CA",5.3,1.4,,78.0,29.0,0.16,0.125,205.0,41.0,43.0,15.2,3.0,5.0,1.0
2020,6073,"San Diego County, CA",3.1,1.7,0.02,49.0,14.0,0.11,0.082,158.0,52.0,75.0,20.5,0.0,1.0,0.0
2020,6075,"San Francisco County, CA",1.7,1.5,,41.0,9.0,0.07,0.048,58.0,22.0,40.0,10.5,,,
2020,6077,"San Joaquin County, CA",2.6,1.7,,54.0,11.0,0.09,0.068,226.0,38.0,92.0,14.8,,,
2020,6079,"San Luis Obispo County, CA",,,,26.0,4.0,0.09,0.08,280.0,28.0,63.0,9.8,1.0,2.0,0.0
2020,6081,"San Mateo County, CA",1.8,1.5,,38.0,8.0,0.09,0.054,,,46.0,9.8,,,
2020,6083,"Santa Barbara County, CA",2.4,1.0,,28.0,5.0,0.1,0.072,103.0,25.0,37.0,9.3,2.0,3.0,0.0
2020,6085,"Santa Clara County, CA",2.1,1.8,,49.0,14.0,0.1,0.069,91.0,25.0,56.0,12.5,1.0,2.0,0.0
2020,6087,"Santa Cruz County, CA",,,,,,0.07,0.048,,,88.0,11.0,,,
2020,6089,"Shasta County, CA",,,,,,0.09,0.069,100.0,23.0,,,,,
2020,6093,"Siskiyou County, CA",,,,,,0.07,0.06,,,85.0,10.9,,,
2020,6095,"Solano County, CA",2.2,1.7,,42.0,7.0,0.09,0.066,,,52.0,12.0,2.0,4.0,1.0
