County Code,County,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,SO2 99th Percentile 1-hr,SO2 2nd Max 24-hr,SO2 Mean 1-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,PM10 2nd Max 24-hr,PM10 Mean 24-hr,Lead Max 3-Mo Avg,Year
6053,"Monterey County, CA",7.3,1.2,23,3,0.08,0.061,,,,14,6.8,70,24,,2021
6055,"Napa County, CA",1,0.9,,,,,,,,,,,,,2021
6057,"Nevada County, CA",,,,,0.1,0.09,,,,65,8.7,,,,2021
6059,"Orange County, CA",2.3,1.7,56,19,0.1,0.078,,,,37,11.5,103,23,,2021
6061,"Placer County, CA",,,34,6,0.1,0.085,,,,57,11.3,137,20,,2021
6063,"Plumas County, CA",,,,,,,,,,70,16.4,,,,2021
6065,"Riverside County, CA",2,1.5,52,14,0.14,0.102,2,1,1,43,15.7,345,56,0.01,2021
6067,"Sacramento County, CA",2.1,1.1,41,7,0.11,0.085,,,0,39,10.9,124,24,,2021
6069,"San Benito County, CA",,,,,0.08,0.068,,,,13,5.6,76,19,,2021
6071,"San Bernardino County, CA",1.9,1.4,73,30,0.14,0.112,6,2,1,49,17.8,119,40,0.01,2021
6073,"San Diego County, CA",2.2,1.3,54,13,0.1,0.078,1,0,0,24,11.2,119,42,0.02,2021
6075,"San Francisco County, CA",1.1,0.9,38,8,0.07,0.051,,,,19,7.2,26,15,,2021
6077,"San Joaquin County, CA",2.1,1.4,27,10,0.09,0.069,,,,37,11.7,162,33,,2021
6079,"San Luis Obispo County, CA",,,22,4,0.08,0.072,2,1,1,21,8,115,26,,2021
6081,"San Mateo County, CA",1.5,0.9,35,8,0.08,0.059,,,,17,6.1,,,,2021
6083,"Santa Barbara County, CA",3.5,0.8,20,3,0.08,0.062,4,1,1,18,6.7,48,20,,2021
6085,"Santa Clara County, CA",1.8,1.4,39,12,0.1,0.074,2,1,0,26,10.9,41,19,,2021
6087,"Santa Cruz County, CA",,,,,0.06,0.052,,,,15,5.7,,,,2021
6089,"Shasta County, CA",,,,,0.09,0.075,,,,,,100,21,,2021
6093,"Siskiyou County, CA",,,,,0.08,0.067,,,,106,14.6,,,,2021
6095,"Solano County, CA",2,1.6,,6,0.09,0.069,4,2,1,24,8.8,47,14,,2021
6097,"Sonoma County, CA",0.9,0.7,20,3,0.06,0.055,,,,,,53,15,,2021
6099,"Stanislaus County, CA",1.7,1.3,34,7,0.1,0.083,,,,43,15,129,36,,2021
6101,"Sutter County, CA",,,34,5,0.09,0.077,,,,45,14.5,107,20,,2021
6103,"Tehama County, CA",,,,,0.09,0.077,,,,71,10.7,,,,2021
6107,"Tulare County, CA",,,39,8,0.11,0.094,,,,69,20.7,198,52,,2021
6109,"Tuolumne County, CA",,,,,0.09,0.068,,,,,,,,,2021
6111,"Ventura County, CA",,,32,7,0.09,0.072,,,,20,8.7,127,25,,2021
6113,"Yolo County, CA",,,21,4,0.08,0.07,,,,,,59,20,,2021
6001,"Alameda County, CA",2.2,1.7,43,13,0.1,0.068,5,1,0,24,9.4,,,,2022
6005,"Amador County, CA",,,,,0.09,0.064,,,,,,,,,2022
6007,"Butte County, CA",1.4,1.2,26,5,0.08,0.067,,,,27,7.7,61,19,,2022
6009,"Calaveras County, CA",,,,,0.08,0.061,,,,17,6.1,38,11,,2022
6011,"Colusa County, CA",,,,,0.07,0.057,,,,21,7.2,72,20,,2022
6013,"Contra Costa County, CA",1.2,0.9,32,8,0.08,0.067,15,4,2,26,9.9,38,19,,2022
6017,"El Dorado County, CA",,,,,0.09,0.074,,,,,,96,14,,2022
6019,"Fresno County, CA",2.6,2.1,53,20,0.1,0.081,,,,43,14.8,172,49,,2022
6021,"Glenn County, CA",,,,,0.08,0.063,,,,,,101,15,,2022
6023,"Humboldt County, CA",1.5,0.9,15,2,0.04,0.035,1,1,0,20,6.8,53,17,,2022
6025,"Imperial County, CA",4,3.1,49,10,0.1,0.075,6,2,0,37,11,765,59,,2022
6027,"Inyo County, CA",0.3,0.3,,,0.07,0.069,1,0,0,32,9.7,700,29,,2022
6029,"Kern County, CA",1.4,0.9,55,22,0.12,0.087,,,,49,16.1,243,46,,2022
6031,"Kings County, CA",,,41,8,0.09,0.075,,,,43,14.7,247,54,,2022
6033,"Lake County, CA",,,,,0.06,0.053,,,,10,4.3,22,11,,2022
6037,"Los Angeles County, CA",3.4,2.7,76,25,0.12,0.095,4,1,0,33,12.3,92,35,0.04,2022
6039,"Madera County, CA",,,28,6,0.09,0.078,,,,32,10.4,131,35,,2022
6041,"Marin County, CA",1.3,0.8,33,7,0.07,0.053,,,,20,6.9,28,13,,2022
6043,"Mariposa County, CA",,,,,0.09,0.079,,,,,,144,23,,2022
6045,"Mendocino County, CA",,,,,0.06,0.05,,,,26,11,50,16,,2022
6047,"Merced County, CA",,,32,7,0.1,0.072,,,,31,10.5,,,,2022
6051,"Mono County, CA",,,,,,,,,,19,6.9,94,19,,2022
6053,"Monterey County, CA",6.6,1.3,,3,0.07,0.054,,,,16,6.8,62,23,,2022
6057,"Nevada County, CA",,,,,0.09,0.074,,,,31,6,,,,2022
6059,"Orange County, CA",2.4,1.8,52,19,0.09,0.07,,,,22,9.9,83,22,,2022
6061,"Placer County, CA",,,33,6,0.09,0.075,,,,44,7.9,61,17,,2022
6065,"Riverside County, CA",1.6,1.2,48,13,0.12,0.095,3,1,1,63,12.5,1547,70,0.01,2022
6067,"Sacramento County, CA",1.8,1.5,44,8,0.09,0.074,,,,37,10.5,57,22,,2022
6069,"San Benito County, CA",,,,,0.08,0.064,,,,12,5,74,18,,2022
6071,"San Bernardino County, CA",1.7,1.3,67,29,0.14,0.105,2,1,0,28,12.2,275,38,0.01,2022
6073,"San Diego County, CA",1.7,1.2,50,15,0.1,0.079,1,0,0,17,8.9,40,23,0.01,2022
6075,"San Francisco County, CA",1.4,0.9,41,9,0.05,0.044,,,,20,6.8,28,15,,2022
6077,"San Joaquin County, CA",2.5,1.7,39,8,0.09,0.067,,,,35,10.2,93,29,,2022
6079,"San Luis Obispo County, CA",,,17,2,0.08,0.069,3,2,1,23,9.1,100,29,,2022
6081,"San Mateo County, CA",1.8,1,38,8,0.08,0.053,,,,20,6.8,,,,2022
6083,"Santa Barbara County, CA",0.9,0.7,20,3,0.07,0.06,2,2,1,16,8,53,21,,2022
6085,"Santa Clara County, CA",1.8,1.5,44,13,0.09,0.066,2,1,0,28,10.1,41,20,0.04,2022
6087,"Santa Cruz County, CA",,,,,0.06,0.047,,,,16,5.5,,,,2022
6089,"Shasta County, CA",,,,,0.08,0.071,,,,,,,,,2022
6093,"Siskiyou County, CA",,,,,0.08,0.055,,,,48,9.4,,,,2022
6095,"Solano County, CA",1.9,1.6,39,7,0.08,0.063,5,3,1,24,8.2,30,12,,2022
6097,"Sonoma County, CA",0.9,0.7,25,4,0.06,0.05,,,,17,6.4,36,12,,2022
6099,"Stanislaus County, CA",1.8,1.4,38,9,0.1,0.077,,,,36,13.4,79,31,,2022
6101,"Sutter County, CA",,,37,7,0.08,0.069,,,,28,10.7,71,21,,2022
6103,"Tehama County, CA",,,,,0.08,0.07,,,,19,5.8,40,15,,2022
6107,"Tulare County, CA",,,,8,0.11,0.09,,,,41,14.9,,,,2022
6111,"Ventura County, CA",,,30,6,0.09,0.078,,,,17,8.2,53,23,,2022
6113,"Yolo County, CA",,,,4,0.08,0.068,,,,29,8.3,54,20,,2022
6001,"Alameda County, CA",14.5,3.6,102,11,0.09,0.069,2,1,0,23,8.7,,,,2023
6005,"Amador County, CA",,,,,0.08,0.062,,,,,,,,,2023
6007,"Butte County, CA",1.6,1.1,27,5,0.07,0.066,,,,23,7.8,77,22,,2023
6009,"Calaveras County, CA",,,,,0.08,0.065,,,,15,5.5,36,12,,2023
6011,"Colusa County, CA",,,,,,,,,,23,7.4,76,20,,2023
6013,"Contra Costa County, CA",3.2,0.9,28,5,0.08,0.063,18,3,1,23,9.9,48,17,,2023
6017,"El Dorado County, CA",,,,,0.08,0.072,,,,,,38,14,,2023
6019,"Fresno County, CA",2.1,1.5,51,17,0.1,0.082,5,2,0,40,12.6,126,43,,2023
6021,"Glenn County, CA",,,,,0.07,0.06,,,,,,67,16,,2023
6023,"Humboldt County, CA",0.7,0.6,14,2,0.06,0.047,1,1,0,20,7,44,17,,2023
6025,"Imperial County, CA",3.4,2.4,55,9,0.11,0.081,5,2,0,31,10.3,523,49,,2023
6027,"Inyo County, CA",0.3,0.3,,,0.08,0.071,1,1,0,29,9.7,700,24,,2023
6029,"Kern County, CA",1.5,0.8,48,19,0.11,0.089,,,,41,13.6,125,39,,2023
6031,"Kings County, CA",,,38,7,,,,,,37,12.5,143,43,,2023
6033,"Lake County, CA",,,,,0.06,0.048,,,,14,4.1,26,10,,2023
6037,"Los Angeles County, CA",3.1,2.6,61,21,0.14,0.103,8,1,0,28,14.3,105,33,0.02,2023
6039,"Madera County, CA",,,24,5,0.09,0.077,,,,28,9.9,114,33,,2023
6041,"Marin County, CA",1.3,0.8,31,6,0.06,0.05,,,,16,5.4,40,12,,2023
6043,"Mariposa County, CA",,,,,0.08,0.068,,,,,,,,,2023
6045,"Mendocino County, CA",,,,,0.06,0.049,,,,32,12.1,62,16,,2023
6047,"Merced County, CA",,,33,6,0.09,0.075,,,,32,9.6,105,31,,2023
6051,"Mono County, CA",,,,,,,,,,22,7,67,20,,2023
6053,"Monterey County, CA",1,0.6,24,3,0.07,0.053,,,,18,7.7,67,17,,2023
6057,"Nevada County, CA",,,,,,,,,,12,4.8,,,,2023
6059,"Orange County, CA",2.2,1.7,50,20,0.1,0.077,,,,24,9.5,,,,2023
6061,"Placer County, CA",,,33,6,0.09,0.077,,,,19,7.5,45,15,,2023
6063,"Plumas County, CA",,,,,,,,,,40,11.9,,,,2023
6065,"Riverside County, CA",1.5,1.2,47,12,0.14,0.099,2,1,0,31,12.5,306,46,0.01,2023
